,CoC Name,CoC Number,Year,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Male,Overall Homeless - Female,Overall Homeless - Transgender,Overall Homeless - Nonbinary Gender,Overall Homeless - White,Overall Homeless - Black or African American,Overall Homeless - Asian or Asian American,Overall Homeless - American Indian or Alaska Native,Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Hispanic/Latino,Overall Homeless - Non-Hispanic/Non-Latino,Label
11,Fayetteville/Northwest Arkansas CoC,AR-501,2022,343.0,0.2332361516034985,0.0466472303206997,0.7201166180758017,0.6297376093294461,0.358600583090379,0.0087463556851311,0.0029154518950437,0.7755102040816326,0.1224489795918367,0.0116618075801749,0.0291545189504373,0.0087463556851311,0.0524781341107871,0.0932944606413994,0.9067055393586004,3
12,Arkansas  Balance of State  CoC,AR-503,2022,814.0,0.0614250614250614,0.1068796068796068,0.8316953316953317,0.6068796068796068,0.3894348894348894,0.0012285012285012,0.0024570024570024,0.812039312039312,0.1621621621621621,0.0,0.011056511056511,0.0,0.0147420147420147,0.0835380835380835,0.9164619164619164,3
13,Southeast Arkansas CoC,AR-505,2022,69.0,0.144927536231884,0.1014492753623188,0.7536231884057971,0.6521739130434783,0.3478260869565217,0.0,0.0,0.5652173913043478,0.391304347826087,0.0,0.0,0.0,0.0434782608695652,0.0869565217391304,0.9130434782608696,4
14,Fort Smith CoC,AR-508,2022,374.0,0.0,0.0,1.0,0.7005347593582888,0.2994652406417112,0.0,0.0,0.7941176470588235,0.1310160427807486,0.0,0.0454545454545454,0.0,0.0294117647058823,0.0427807486631016,0.9572192513368984,3
15,Arizona Balance of State CoC,AZ-500,2022,2300.0,0.1091304347826087,0.0478260869565217,0.8430434782608696,0.6117391304347826,0.3817391304347826,0.0013043478260869,0.0052173913043478,0.7052173913043478,0.0534782608695652,0.0017391304347826,0.1095652173913043,0.0091304347826086,0.1208695652173913,0.1713043478260869,0.828695652173913,3
16,Tucson/Pima County CoC,AZ-501,2022,2227.0,0.1041760215536596,0.1010327795240233,0.794791198922317,0.5985630893578806,0.3902110462505613,0.0062864840592725,0.0049393803322855,0.6946564885496184,0.1293219577907499,0.0062864840592725,0.0745397395599461,0.0125729681185451,0.0826223619218679,0.3960484957341715,0.6039515042658284,2
17,"Phoenix, Mesa/Maricopa County CoC",AZ-502,2022,9026.0,0.1373808996233104,0.0829824950144028,0.7796366053622867,0.6485707954797253,0.3475515178373587,0.0022158209616662,0.0013294925769997,0.6250830932860625,0.2580323509860403,0.0076445823177487,0.057722136051407,0.0064258807888322,0.0450919565699091,0.2387547086195435,0.7612452913804565,2
18,San Jose/Santa Clara City & County CoC,CA-500,2022,10028.0,0.0537495013960909,0.1186677303550059,0.8275827682489031,0.6081970482648584,0.3711607499002792,0.0105704028719585,0.0088751495811727,0.5991224571200638,0.1422018348623853,0.0581372157957718,0.0724970083765456,0.0248304746709214,0.1032110091743119,0.4710809732748304,0.5289190267251695,2
19,San Francisco CoC,CA-501,2022,7754.0,0.0545524890379159,0.1327057002837245,0.8127418106783596,0.6192932679907145,0.3382770183131287,0.0288883157080216,0.0108331183905081,0.4271343822543204,0.381351560484911,0.0550683518184163,0.0433324735620325,0.0292752127933969,0.0638380190869228,0.3039721434098529,0.696027856590147,4
20,"Oakland, Berkeley/Alameda County CoC",CA-502,2022,9747.0,0.0598132758797578,0.082486919052016,0.8576998050682261,0.6192674669128962,0.3668821175746383,0.0050271878526726,0.0053349748640607,0.3862726992920898,0.4291576895455011,0.0461680517082179,0.0428849902534113,0.026880065661229,0.0686365035395506,0.245716630758182,0.754283369241818,4
21,Sacramento City & County CoC,CA-503,2022,9278.0,0.0838542789394266,0.0685492563052382,0.8475964647553352,0.6520801896960552,0.325932312998491,0.0125026945462384,0.0094848027592153,0.4646475533520155,0.3125673636559603,0.024250916145721,0.0730760939857727,0.0175684414744557,0.1078896313860745,0.1990730760939857,0.8009269239060143,4
22,"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,2022,2893.0,0.0366401659177324,0.1752506049083995,0.7881092291738679,0.6270307639128931,0.3473902523332181,0.0134808157621845,0.0082958866228828,0.6685101970273073,0.0798479087452471,0.0134808157621845,0.094365710335292,0.0155547874179052,0.1282405807120636,0.2474939509160041,0.7525060490839959,3
23,Richmond/Contra Costa County CoC,CA-505,2022,3093.0,0.0342709343679275,0.0737148399612027,0.8920142256708697,0.5473650177820886,0.409957969608794,0.0016165535079211,0.0084060782411897,0.5134173941157453,0.3187843517620433,0.0093760103459424,0.0934367927578402,0.0255415454251535,0.0394439055932751,0.2392499191723246,0.7607500808276754,4
24,"Salinas/Monterey, San Benito Counties CoC",CA-506,2022,2404.0,0.1002495840266222,0.0940099833610648,0.8057404326123128,0.7142262895174709,0.2728785357737104,0.0049916805324459,0.0079034941763727,0.5894342762063228,0.1289517470881863,0.0461730449251247,0.1281198003327787,0.0270382695507487,0.0802828618968386,0.5607321131447587,0.4392678868552412,2
25,Marin County CoC,CA-507,2022,1121.0,0.1239964317573595,0.1248884924174843,0.7511150758251561,0.5914362176628011,0.3907225691347011,0.0071364852809991,0.0107047279214986,0.6503122212310437,0.2185548617305976,0.0223015165031222,0.0419268510258697,0.0169491525423728,0.0499553969669937,0.231935771632471,0.768064228367529,3
26,Watsonville/Santa Cruz City & County CoC,CA-508,2022,2299.0,0.0400173988690735,0.103088299260548,0.8568943018703784,0.6637668551544149,0.3223140495867768,0.0047846889952153,0.0091344062635928,0.7394519356241844,0.117442366246194,0.0100043497172683,0.0343627664201826,0.0047846889952153,0.0939538929969552,0.3901696389734667,0.6098303610265333,2
27,Mendocino County CoC,CA-509,2022,830.0,0.0855421686746988,0.0518072289156626,0.8626506024096385,0.6325301204819277,0.3192771084337349,0.0192771084337349,0.0253012048192771,0.8397590361445784,0.0228915662650602,0.008433734939759,0.0879518072289156,0.008433734939759,0.0325301204819277,0.1530120481927711,0.846987951807229,3
28,"Turlock, Modesto/Stanislaus County CoC",CA-510,2022,1857.0,0.098546042003231,0.0495422724824986,0.8519116855142703,0.6499730748519117,0.3435648896068928,0.0,0.0048465266558966,0.7399030694668821,0.1077005923532579,0.0193861066235864,0.061389337641357,0.0140010770059235,0.0576198169089929,0.3397953688745288,0.6602046311254712,2
29,Stockton/San Joaquin County CoC,CA-511,2022,2319.0,0.141871496334627,0.0413971539456662,0.8167313497197067,0.6127641224665804,0.3842173350582147,0.0008624407072013,0.0008624407072013,0.6308753773178094,0.2238033635187581,0.0284605433376455,0.0211297973264338,0.0112117291936179,0.0845191893057352,0.3130659767141009,0.6869340232858991,2
30,Daly/San Mateo County CoC,CA-512,2022,1808.0,0.1194690265486725,0.0398230088495575,0.8407079646017699,0.6698008849557522,0.3196902654867257,0.0049778761061946,0.0055309734513274,0.6078539823008849,0.1924778761061946,0.058075221238938,0.0519911504424778,0.0348451327433628,0.0547566371681415,0.4695796460176991,0.5304203539823009,2
31,"Visalia/Kings, Tulare Counties CoC",CA-513,2022,1235.0,0.0704453441295546,0.0566801619433198,0.8728744939271255,0.622672064777328,0.3732793522267206,0.0008097165991902,0.0008097165991902,0.7773279352226721,0.0963562753036437,0.0105263157894736,0.0631578947368421,0.0186234817813765,0.0340080971659919,0.4777327935222672,0.5222672064777328,2
32,Fresno City & County/Madera County CoC,CA-514,2022,4216.0,0.1100569259962049,0.0305977229601518,0.8593453510436433,0.6295066413662239,0.3629032258064516,0.0037950664136622,0.0030834914611005,0.603415559772296,0.1435009487666034,0.0308349146110056,0.0723434535104364,0.0083017077798861,0.1416034155597723,0.486954459203036,0.513045540796964,2
33,"Roseville, Rocklin/Placer County CoC",CA-515,2022,750.0,0.0786666666666666,0.0573333333333333,0.864,0.6226666666666667,0.372,0.0013333333333333,0.004,0.82,0.0813333333333333,0.0186666666666666,0.0253333333333333,0.008,0.0466666666666666,0.1466666666666666,0.8533333333333334,3
34,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,2022,1837.0,0.1186717474142623,0.0528034839412084,0.8285247686445292,0.6113228089275994,0.3837778987479586,0.0005443658138268,0.0005443658138268,0.7806205770277627,0.0277626565051714,0.0054436581382689,0.1132280892759934,0.0070767555797495,0.0658682634730539,0.0936309199782253,0.9063690800217746,3
35,Napa City & County CoC,CA-517,2022,495.0,0.0343434343434343,0.0585858585858585,0.907070707070707,0.6484848484848484,0.3434343434343434,0.002020202020202,0.006060606060606,0.8383838383838383,0.0666666666666666,0.002020202020202,0.0525252525252525,0.008080808080808,0.0323232323232323,0.2606060606060606,0.7393939393939394,3
36,Vallejo/Solano County CoC,CA-518,2022,1179.0,0.0551314673452078,0.0568278201865988,0.8880407124681934,0.6539440203562341,0.3282442748091603,0.0008481764206955,0.008481764206955,0.5122985581000848,0.3324851569126378,0.0110262934690415,0.01696352841391,0.0500424088210347,0.0771840542832909,0.1857506361323155,0.8142493638676844,4
37,"Chico, Paradise/Butte County CoC",CA-519,2022,1006.0,0.0944333996023856,0.0437375745526839,0.8618290258449304,0.5775347912524851,0.4105367793240557,0.0019880715705765,0.0079522862823061,0.790258449304175,0.0337972166998011,0.0188866799204771,0.0576540755467196,0.0079522862823061,0.0914512922465208,0.1739562624254473,0.8260437375745527,3
38,Merced City & County CoC,CA-520,2022,855.0,0.1777777777777777,0.0736842105263157,0.7485380116959064,0.6269005847953216,0.3695906432748538,0.0035087719298245,0.0,0.6128654970760234,0.1415204678362573,0.031578947368421,0.0584795321637426,0.0011695906432748,0.1543859649122807,0.431578947368421,0.5684210526315789,2
39,"Davis, Woodland/Yolo County CoC",CA-521,2022,746.0,0.1219839142091152,0.0630026809651474,0.8150134048257373,0.6340482573726541,0.3646112600536193,0.0013404825737265,0.0,0.660857908847185,0.1823056300268096,0.0214477211796246,0.0951742627345844,0.0187667560321715,0.0214477211796246,0.292225201072386,0.707774798927614,2
40,Humboldt County CoC,CA-522,2022,1648.0,0.0285194174757281,0.0370145631067961,0.9344660194174758,0.716626213592233,0.2754854368932038,0.0036407766990291,0.0042475728155339,0.8046116504854369,0.0333737864077669,0.0012135922330097,0.0849514563106796,0.0097087378640776,0.0661407766990291,0.0758495145631067,0.9241504854368932,3
41,"Colusa, Glenn, Trinity Counties CoC",CA-523,2022,340.0,0.3147058823529411,0.0470588235294117,0.638235294117647,0.5264705882352941,0.4735294117647058,0.0,0.0,0.8588235294117647,0.0147058823529411,0.0029411764705882,0.0205882352941176,0.0058823529411764,0.0970588235294117,0.2147058823529411,0.7852941176470588,3
42,Yuba City & County/Sutter County CoC,CA-524,2022,1094.0,0.2522851919561243,0.0585009140767824,0.6892138939670932,0.5246800731261426,0.473491773308958,0.0009140767824497,0.0,0.6252285191956124,0.1005484460694698,0.0082266910420475,0.0484460694698354,0.0027422303473491,0.2148080438756855,0.1837294332723948,0.8162705667276051,0
43,El Dorado County CoC,CA-525,2022,511.0,0.0273972602739726,0.1643835616438356,0.8082191780821918,0.6360078277886497,0.3268101761252446,0.0117416829745596,0.0078277886497064,0.8904109589041096,0.0313111545988258,0.0234833659491193,0.0254403131115459,0.009784735812133,0.0195694716242661,0.0841487279843444,0.9158512720156556,3
44,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,2022,625.0,0.0784,0.0448,0.8768,0.5872,0.4096,0.0,0.0,0.8624,0.0064,0.0,0.064,0.0016,0.0656,0.1104,0.8896,3
45,Tehama County CoC,CA-527,2022,291.0,0.1374570446735395,0.0481099656357388,0.8144329896907216,0.6426116838487973,0.3573883161512027,0.0,0.0,0.9003436426116839,0.0068728522336769,0.0103092783505154,0.0721649484536082,0.0034364261168384,0.0068728522336769,0.1649484536082474,0.8350515463917526,3
46,Lake County CoC,CA-529,2022,339.0,0.079646017699115,0.0737463126843657,0.8466076696165191,0.6312684365781711,0.3657817109144542,0.0029498525073746,0.0,0.5722713864306784,0.023598820058997,0.0029498525073746,0.3775811209439528,0.0,0.023598820058997,0.1297935103244837,0.8702064896755162,3
47,"Alpine, Inyo, Mono Counties CoC",CA-530,2022,140.0,0.2214285714285714,0.05,0.7285714285714285,0.5857142857142857,0.4071428571428571,0.0,0.0071428571428571,0.9285714285714286,0.0214285714285714,0.0142857142857142,0.0357142857142857,0.0,0.0,0.2071428571428571,0.7928571428571428,3
48,Nevada County CoC,CA-531,2022,527.0,0.1138519924098671,0.0474383301707779,0.8387096774193549,0.573055028462998,0.4174573055028463,0.0018975332068311,0.0075901328273244,0.9013282732447818,0.0113851992409867,0.0037950664136622,0.0284629981024667,0.0018975332068311,0.0531309297912713,0.0967741935483871,0.9032258064516128,3
49,Los Angeles City & County CoC,CA-600,2022,65111.0,0.0974643301439081,0.0427884689223019,0.85974720093379,0.6564175024189461,0.3182872325720692,0.0140836417809586,0.0091996744021747,0.4468522983827617,0.4578949793429682,0.0152355208797284,0.0224386048440355,0.0099829521893382,0.0475956443611678,0.4444717482453041,0.5555282517546958,2
50,San Diego City and County CoC,CA-601,2022,8427.0,0.1394327756022309,0.0791503500652664,0.7814168743325026,0.6508840631304141,0.3416399667734662,0.0035599857600569,0.0039159843360626,0.6563427079625015,0.2451643526759226,0.019817254064317,0.0309718761124955,0.0185119259522961,0.029191883232467,0.3370119852853921,0.6629880147146078,2
51,"Santa Ana, Anaheim/Orange County CoC",CA-602,2022,5718.0,0.1262679258481986,0.0410982861140258,0.8326337880377754,0.6325638335082197,0.3618398041273172,0.002973067506121,0.0017488632388947,0.7093389296956978,0.0844700944386149,0.034102833158447,0.0369010143406785,0.0099685204616998,0.1252186079048618,0.3938440013990906,0.6061559986009094,2
52,Santa Maria/Santa Barbara County CoC,CA-603,2022,1962.0,0.0688073394495412,0.0382262996941896,0.8929663608562691,0.6376146788990825,0.3598369011213048,0.0020387359836901,0.0005096839959225,0.8328236493374108,0.0764525993883792,0.010703363914373,0.0326197757390418,0.0050968399592252,0.0423037716615698,0.382262996941896,0.617737003058104,2
53,Bakersfield/Kern County CoC,CA-604,2022,1603.0,0.1041796631316282,0.0617592014971927,0.834061135371179,0.6656269494697442,0.3231441048034934,0.0031191515907673,0.008109794135995,0.7105427323767936,0.198378041172801,0.0074859638178415,0.024329382407985,0.0087336244541484,0.0505302557704304,0.412975670617592,0.587024329382408,2
54,Long Beach CoC,CA-606,2022,3296.0,0.020631067961165,0.0415655339805825,0.9378033980582524,0.7041868932038835,0.2730582524271844,0.0151699029126213,0.0075849514563106,0.5394417475728155,0.3410194174757281,0.0200242718446601,0.0233616504854368,0.0151699029126213,0.0609830097087378,0.2818567961165049,0.7181432038834952,4
55,Pasadena CoC,CA-607,2022,512.0,0.083984375,0.0625,0.853515625,0.6796875,0.3125,0.005859375,0.001953125,0.546875,0.37109375,0.015625,0.03515625,0.00390625,0.02734375,0.435546875,0.564453125,2
56,Riverside City & County CoC,CA-608,2022,3316.0,0.077503015681544,0.0940892641737032,0.8284077201447527,0.6366103739445115,0.3573582629674306,0.002714113389626,0.0033172496984318,0.6752110977080821,0.1905910735826296,0.0108564535585042,0.0331724969843184,0.0081423401688781,0.0820265379975874,0.3525331724969843,0.6474668275030157,2
57,San Bernardino City & County CoC,CA-609,2022,3333.0,0.081008100810081,0.045004500450045,0.873987398739874,0.6537653765376538,0.3432343234323432,0.0018001800180018,0.0006000600060006,0.5862586258625863,0.2241224122412241,0.0126012601260126,0.0324032403240324,0.0063006300630063,0.1383138313831383,0.4065406540654065,0.5934593459345935,2
58,"Oxnard, San Buenaventura/Ventura County CoC",CA-611,2022,2248.0,0.068950177935943,0.0382562277580071,0.8927935943060499,0.6641459074733096,0.3300711743772242,0.0057829181494661,0.0,0.7909252669039146,0.0573843416370106,0.0137900355871886,0.0142348754448398,0.0177935943060498,0.1058718861209964,0.4804270462633452,0.5195729537366548,2
59,Glendale CoC,CA-612,2022,225.0,0.2,0.0222222222222222,0.7777777777777778,0.5955555555555555,0.4,0.0044444444444444,0.0,0.7555555555555555,0.1555555555555555,0.0533333333333333,0.0177777777777777,0.0044444444444444,0.0133333333333333,0.3911111111111111,0.6088888888888889,2
60,Imperial County CoC,CA-613,2022,1057.0,0.0908230842005676,0.0274361400189214,0.8817407757805109,0.6385998107852412,0.3500473036896878,0.0037842951750236,0.0075685903500473,0.8789025543992431,0.0160832544938505,0.0075685903500473,0.0094607379375591,0.0132450331125827,0.0747398297067171,0.4219489120151372,0.5780510879848628,2
61,San Luis Obispo County CoC,CA-614,2022,1448.0,0.1761049723756906,0.048342541436464,0.7755524861878453,0.5511049723756906,0.4357734806629834,0.0,0.0131215469613259,0.8439226519337016,0.0345303867403314,0.0082872928176795,0.0504143646408839,0.011049723756906,0.0517955801104972,0.3363259668508287,0.6636740331491713,2
62,Colorado Balance of State CoC,CO-500,2022,1315.0,0.1193916349809885,0.0692015209125475,0.8114068441064639,0.6395437262357414,0.3505703422053232,0.0045627376425855,0.0053231939163498,0.785551330798479,0.0410646387832699,0.0015209125475285,0.0441064638783269,0.0038022813688212,0.1239543726235741,0.1992395437262357,0.8007604562737642,3
63,Metropolitan Denver CoC,CO-503,2022,6884.0,0.1160662405578152,0.0489540964555491,0.8349796629866357,0.6063335270191749,0.3794305636257989,0.0074084834398605,0.0062463683904706,0.6202789076118536,0.2029343404997094,0.0055200464846019,0.062754212667054,0.0270191748983149,0.081493317838466,0.2542126670540383,0.7457873329459617,2
64,Colorado Springs/El Paso County CoC,CO-504,2022,1406.0,0.201280227596017,0.0782361308677098,0.7204836415362731,0.6081081081081081,0.3755334281650071,0.0049786628733997,0.0106685633001422,0.6415362731152204,0.1706970128022759,0.0071123755334281,0.0504978662873399,0.0078236130867709,0.1223328591749644,0.2226173541963015,0.7773826458036984,3
65,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",CO-505,2022,792.0,0.1262626262626262,0.0467171717171717,0.827020202020202,0.6363636363636364,0.3573232323232323,0.0037878787878787,0.0025252525252525,0.797979797979798,0.0631313131313131,0.0063131313131313,0.0492424242424242,0.0138888888888888,0.0694444444444444,0.2765151515151515,0.7234848484848485,3
66,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",CT-503,2022,603.0,0.1990049751243781,0.0729684908789386,0.7280265339966833,0.6053067993366501,0.3930348258706467,0.0016583747927031,0.0,0.4494195688225539,0.4643449419568822,0.0066334991708126,0.0165837479270315,0.0033167495854063,0.0597014925373134,0.3449419568822554,0.6550580431177446,2
67,Connecticut Balance of State CoC,CT-505,2022,2327.0,0.1890846583584013,0.0691877954447786,0.7417275461968199,0.5938977223893425,0.4039535883111302,0.0017189514396218,0.0004297378599054,0.5556510528577567,0.3674258702191663,0.0060163300386764,0.00945423291792,0.0068758057584873,0.0545767082079931,0.3094112591319295,0.6905887408680704,2
68,District of Columbia CoC,DC-500,2022,4410.0,0.1360544217687075,0.1154195011337868,0.7485260770975056,0.617233560090703,0.3709750566893424,0.0081632653061224,0.0036281179138321,0.0913832199546485,0.853514739229025,0.0079365079365079,0.0088435374149659,0.0034013605442176,0.0349206349206349,0.0578231292517006,0.9421768707482994,1
69,Delaware Statewide CoC,DE-500,2022,2369.0,0.324609539890249,0.0844238075137188,0.5909666525960321,0.5208948923596454,0.476572393414943,0.0008442380751371,0.0016884761502743,0.3212325875897003,0.6137610806247362,0.0059096665259603,0.0025327142254115,0.0008442380751371,0.0557197129590544,0.0637399746728577,0.9362600253271424,1
70,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,2022,1138.0,0.0975395430579964,0.0518453427065026,0.8506151142355008,0.6748681898066784,0.3242530755711775,0.0008787346221441,0.0,0.7609841827768014,0.2047451669595782,0.0043936731107205,0.0017574692442882,0.0017574692442882,0.0263620386643233,0.1089630931458699,0.8910369068541301,3
71,Tampa/Hillsborough County CoC,FL-501,2022,1513.0,0.1916721744877726,0.0330469266358228,0.7752808988764045,0.6437541308658294,0.3529411764705882,0.0006609385327164,0.0006609385327164,0.4613350958360872,0.4917382683410443,0.0059484467944481,0.0257766027759418,0.0059484467944481,0.0092531394580304,0.1678783873099801,0.8321216126900198,4
72,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2022,1985.0,0.1506297229219143,0.0292191435768261,0.8201511335012595,0.654911838790932,0.3410579345088161,0.0020151133501259,0.0015113350125944,0.5692695214105793,0.3642317380352645,0.0070528967254408,0.014609571788413,0.0060453400503778,0.0387909319899244,0.0700251889168765,0.9299748110831234,4
73,"Lakeland, Winterhaven/Polk County CoC",FL-503,2022,506.0,0.1956521739130435,0.0494071146245059,0.7549407114624506,0.6047430830039525,0.3932806324110672,0.0019762845849802,0.0,0.6027667984189723,0.3162055335968379,0.0019762845849802,0.0118577075098814,0.0039525691699604,0.0632411067193675,0.1343873517786561,0.8656126482213439,4
74,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",FL-504,2022,865.0,0.2265895953757225,0.0508670520231213,0.7225433526011561,0.5930635838150289,0.4057803468208092,0.0,0.0011560693641618,0.5895953757225434,0.3190751445086705,0.0011560693641618,0.0046242774566473,0.0184971098265895,0.0670520231213872,0.2254335260115607,0.7745664739884393,4
75,"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,2022,403.0,0.1042183622828784,0.0669975186104218,0.8287841191066998,0.6104218362282878,0.3821339950372208,0.0024813895781637,0.0049627791563275,0.71712158808933,0.2034739454094292,0.0024813895781637,0.0173697270471464,0.0049627791563275,0.0545905707196029,0.0794044665012407,0.9205955334987592,3
76,Tallahassee/Leon County CoC,FL-506,2022,621.0,0.1642512077294686,0.0257648953301127,0.8099838969404187,0.6038647342995169,0.394524959742351,0.0,0.001610305958132,0.3349436392914653,0.5684380032206119,0.0048309178743961,0.0225442834138486,0.0161030595813204,0.0531400966183574,0.072463768115942,0.927536231884058,1
77,"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,2022,2151.0,0.2556950255695026,0.0581125058112505,0.6861924686192469,0.5941422594142259,0.401673640167364,0.00278940027894,0.00046490004649,0.4546722454672245,0.4760576476057647,0.00650860065086,0.00697350069735,0.00604370060437,0.0497443049744305,0.2171083217108321,0.7828916782891678,4
78,"Gainesville/Alachua, Putnam Counties CoC",FL-508,2022,925.0,0.0918918918918919,0.041081081081081,0.867027027027027,0.654054054054054,0.3416216216216216,0.0,0.0043243243243243,0.5156756756756756,0.4183783783783784,0.0021621621621621,0.0086486486486486,0.001081081081081,0.054054054054054,0.0486486486486486,0.9513513513513514,4
79,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,2022,846.0,0.210401891252955,0.0579196217494089,0.7316784869976359,0.6122931442080378,0.384160756501182,0.0035460992907801,0.0,0.7115839243498818,0.1914893617021276,0.0023640661938534,0.0130023640661938,0.0047281323877068,0.0768321513002364,0.0709219858156028,0.9290780141843972,3
80,"Jacksonville-Duval, Clay Counties CoC",FL-510,2022,1279.0,0.1579358874120406,0.0570758405003909,0.7849882720875684,0.6591086786551994,0.3393275996872557,0.0015637216575449,0.0,0.3307271305707584,0.6004691164972635,0.0039093041438623,0.0062548866301798,0.0070367474589523,0.0516028146989835,0.0547302580140734,0.9452697419859264,1
81,"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,2022,727.0,0.0288858321870701,0.0275103163686382,0.9436038514442916,0.7482806052269602,0.2462173314993122,0.0027510316368638,0.0027510316368638,0.6162310866574966,0.343878954607978,0.0,0.0082530949105914,0.0096286107290233,0.0220082530949105,0.0412654745529573,0.9587345254470426,4
82,St. Johns County CoC,FL-512,2022,349.0,0.0716332378223495,0.0487106017191977,0.8796561604584527,0.6074498567335244,0.3925501432664756,0.0,0.0,0.8624641833810889,0.0773638968481375,0.0114613180515759,0.0257879656160458,0.0114613180515759,0.0114613180515759,0.0143266475644699,0.98567335243553,3
