CoC Number,under18,binary
CA-529,0.07964601769911504,0.9970501474926253
CA-530,0.22142857142857142,0.9928571428571429
CA-531,0.11385199240986717,0.9905123339658444
CA-600,0.0974643301439081,0.9747047349910154
CA-601,0.1394327756022309,0.9925240299038803
CA-602,0.12626792584819868,0.9944036376355369
CA-603,0.06880733944954129,0.9974515800203874
CA-604,0.1041796631316282,0.9887710542732376
CA-606,0.02063106796116505,0.977245145631068
CA-607,0.083984375,0.9921875
CA-608,0.07750301568154402,0.9939686369119421
CA-609,0.081008100810081,0.996999699969997
CA-611,0.06895017793594306,0.9942170818505338
CA-612,0.2,0.9955555555555555
CA-613,0.09082308420056764,0.988647114474929
CA-614,0.17610497237569062,0.986878453038674
CO-500,0.11939163498098859,0.9901140684410646
CO-503,0.11606624055781523,0.9857640906449738
CO-504,0.20128022759601708,0.9836415362731152
CO-505,0.12626262626262627,0.9936868686868687
CT-503,0.19900497512437812,0.9983416252072969
CT-505,0.18908465835840138,0.9978513107004727
DC-500,0.1360544217687075,0.9882086167800453
DE-500,0.32460953989024904,0.9974672857745884
FL-500,0.09753954305799649,0.9991212653778558
FL-501,0.19167217448777263,0.9966953073364178
FL-502,0.15062972292191434,0.9959697732997481
FL-503,0.1956521739130435,0.9980237154150198
FL-504,0.22658959537572254,0.9988439306358381
FL-505,0.10421836228287841,0.9925558312655087
FL-506,0.1642512077294686,0.998389694041868
FL-507,0.2556950255695026,0.99581589958159
FL-508,0.0918918918918919,0.9956756756756757
FL-509,0.21040189125295508,0.9964539007092199
FL-510,0.15793588741204065,0.9984362783424551
FL-511,0.02888583218707015,0.9944979367262724
FL-512,0.07163323782234957,1.0
FL-513,0.14301310043668122,0.9989082969432315
FL-514,0.189010989010989,1.0
FL-515,0.07142857142857142,0.9867724867724867
FL-517,0.06153846153846154,1.0
FL-518,0.20901639344262296,0.9959016393442623
FL-519,0.14261460101867574,1.0
FL-520,0.2040268456375839,1.0
FL-600,0.2042124542124542,0.9948107448107448
FL-601,0.12268743914313535,0.9990262901655307
FL-602,0.16891891891891891,1.0
FL-603,0.175,1.0
FL-604,0.08365019011406843,0.9961977186311787
FL-605,0.12464387464387465,0.9964387464387464
FL-606,0.22510822510822512,0.9956709956709957
GA-500,0.08081308874566187,0.9920674268715914
GA-501,0.17349726775956284,0.994535519125683
GA-502,0.2600732600732601,1.0
GA-503,0.20848056537102475,0.9964664310954063
GA-504,0.1092896174863388,0.9981785063752276
GA-505,0.03292181069958848,1.0
GA-506,0.24473684210526317,0.9973684210526316
GA-507,0.26003824091778205,1.0
GA-508,0.3168141592920354,0.9982300884955753
GU-500,0.34406623735050595,0.9990800367985281
HI-500,0.1582591493570722,0.996538081107814
HI-501,0.13814955640050697,0.9891001267427123
IA-500,0.18396226415094338,0.9905660377358491
IA-501,0.23922548407245472,0.9931292941911305
IA-502,0.10396039603960396,0.995049504950495
ID-500,0.09032258064516129,0.9919354838709677
ID-501,0.29245283018867924,0.997822931785196
IL-500,0.14130434782608695,0.9891304347826086
IL-501,0.2413793103448276,1.0
IL-502,0.32018561484918795,0.9930394431554525
IL-503,0.24817518248175183,1.0
IL-504,0.2916666666666667,1.0
IL-506,0.2100456621004566,1.0
IL-507,0.1572700296735905,0.9970326409495549
IL-508,0.19796954314720813,1.0
IL-510,0.1615483870967742,0.992516129032258
IL-511,0.29288321167883213,0.9945255474452555
IL-512,0.17012448132780084,0.983402489626556
IL-513,0.1893939393939394,0.9886363636363636
IL-514,0.34954954954954953,0.9837837837837838
IL-515,0.21019108280254778,0.9936305732484076
IL-516,0.12903225806451613,0.989247311827957
IL-517,0.12531969309462915,0.9974424552429667
IL-518,0.08928571428571429,1.0
IL-519,0.36082474226804123,1.0
IL-520,0.2701612903225806,1.0
IN-502,0.18899132321041215,0.9940347071583514
IN-503,0.1788756388415673,0.9965928449744463
KS-502,0.15942028985507245,0.9927536231884058
KS-503,0.1095890410958904,1.0
KS-505,0.28773584905660377,0.9811320754716981
KS-507,0.15823466092572658,0.9870828848223897
KY-500,0.1658291457286432,0.9972590223846505
KY-501,0.15648148148148147,0.9916666666666667
KY-502,0.1062937062937063,0.993006993006993
LA-500,0.2849002849002849,0.9914529914529915
LA-502,0.11764705882352941,0.996078431372549
LA-503,0.06177924217462932,0.9892915980230642
LA-505,0.33088235294117646,1.0
LA-506,0.3698854337152209,1.0
LA-507,0.26666666666666666,0.9733333333333334
LA-509,0.373282604100613,0.9974635383639823
MA-500,0.3847713448974994,0.9961703086280694
MA-502,0.5381903642773208,0.9753231492361927
MA-503,0.23173803526448364,1.0
MA-504,0.483435047951177,0.9986922406277245
MA-505,0.31891891891891894,1.0
MA-506,0.3069694596711042,0.9929522317932654
MA-507,0.16974169741697417,0.981549815498155
MA-509,0.12727272727272726,0.990909090909091
MA-511,0.3462301587301587,0.9970238095238095
MA-515,0.37119113573407203,1.0
MA-516,0.4145285935085008,0.9975270479134467
MA-519,0.43686006825938567,0.9965870307167235
MD-501,0.12836568566061365,0.9924859110832811
MD-503,0.2280130293159609,0.996742671009772
MD-504,0.2909090909090909,1.0
MD-505,0.27564102564102566,0.9957264957264957
MD-506,0.15789473684210525,0.9868421052631579
MD-509,0.1574074074074074,0.9953703703703703
MD-511,0.39655172413793105,0.9913793103448276
