CoC Number,under18,white
OK-506,0.16417910447761194,0.5373134328358209
OK-507,0.13548387096774195,0.6129032258064516
OR-500,0.10416666666666667,0.8270833333333333
OR-501,0.08071920428462127,0.6032899770466718
OR-502,0.1286970423661071,0.8625099920063949
OR-503,0.16335540838852097,0.847682119205298
OR-504,0.05484764542936288,0.8404432132963989
OR-505,0.16588612275080108,0.8767562238106975
OR-506,0.21163366336633663,0.8032178217821783
OR-507,0.19089316987740806,0.8231173380035026
PA-500,0.1746491423479617,0.21496992648696814
PA-501,0.27423167848699764,0.34278959810874704
PA-502,0.34328358208955223,0.29253731343283584
PA-503,0.2733333333333333,0.6066666666666667
PA-504,0.2746478873239437,0.5352112676056338
PA-505,0.2462686567164179,0.5099502487562189
PA-506,0.23036649214659685,0.7207678883071553
PA-508,0.2712765957446808,0.776595744680851
PA-509,0.27161572052401745,0.7091703056768559
PA-510,0.3601694915254237,0.663135593220339
PA-511,0.2903981264637002,0.6135831381733021
PA-512,0.3268156424581006,0.5307262569832403
PA-600,0.19886363636363635,0.35795454545454547
PA-601,0.254421768707483,0.7755102040816326
PA-603,0.4174757281553398,0.5728155339805825
PA-605,0.14093959731543623,0.5503355704697986
PR-502,0.07407407407407407,0.42300194931773877
PR-503,0.030277544154751892,0.4693019343986543
RI-500,0.2010145846544071,0.6531388712745719
SC-500,0.17901234567901234,0.37962962962962965
SC-501,0.11322248614410134,0.5091053048297703
SC-502,0.13272543059777103,0.3140830800405269
SC-503,0.20019342359767892,0.47775628626692457
SD-500,0.20230381569474443,0.24550035997120231
TN-500,0.1303066037735849,0.8172169811320755
TN-501,0.16777251184834124,0.21137440758293838
TN-502,0.12903225806451613,0.7207130730050934
TN-503,0.1834625322997416,0.6408268733850129
TN-504,0.07724425887265135,0.5417536534446764
TN-506,0.22251308900523561,0.8821989528795812
TN-507,0.17991169977924945,0.5971302428256071
TN-509,0.1096938775510204,0.8698979591836735
TN-510,0.16442048517520216,0.6091644204851752
TN-512,0.20068027210884354,0.9013605442176871
TX-500,0.1378964941569282,0.7191986644407345
TX-503,0.21539436173582516,0.5619258789990498
TX-600,0.1235827664399093,0.38299319727891157
TX-601,0.18558558558558558,0.4864864864864865
TX-603,0.25,0.84688995215311
TX-604,0.2564102564102564,0.6666666666666666
TX-607,0.15707400056705415,0.706265948398072
TX-611,0.17397881996974282,0.7216338880484114
TX-624,0.08032128514056225,0.7710843373493976
TX-700,0.10627400768245839,0.43437900128040974
TX-701,0.11627906976744186,0.4418604651162791
UT-500,0.1909307875894988,0.7088305489260143
UT-503,0.19656019656019655,0.8214578214578214
UT-504,0.23651452282157676,0.8921161825726142
VA-500,0.2065997130559541,0.2568149210903874
VA-501,0.13685636856368563,0.22628726287262874
VA-502,0.09259259259259259,0.5879629629629629
VA-503,0.26136363636363635,0.4034090909090909
VA-504,0.07518796992481203,0.5150375939849624
VA-505,0.20763723150357996,0.3031026252983294
VA-507,0.35,0.16666666666666666
VA-508,0.11904761904761904,0.5357142857142857
VA-513,0.1807511737089202,0.7488262910798122
VA-514,0.25691699604743085,0.5691699604743083
VA-521,0.25155555555555553,0.5848888888888889
VA-600,0.15934065934065933,0.44505494505494503
VA-601,0.2795969773299748,0.37615449202350965
VA-602,0.2222222222222222,0.5454545454545454
VA-603,0.225,0.19166666666666668
VA-604,0.27385892116182575,0.37344398340248963
VI-500,0.005714285714285714,0.05714285714285714
VT-500,0.18986742424242425,0.9081439393939394
VT-501,0.11976047904191617,0.7934131736526946
WA-500,0.1692848593656493,0.47703470975463796
WA-501,0.16860266484455075,0.7953536043730782
WA-502,0.10358565737051793,0.7723392145702903
WA-503,0.10804970286331712,0.561858454889249
WA-504,0.15371621621621623,0.7956081081081081
WA-508,0.1921470342522974,0.722639933166249
WI-500,0.2866513611020007,0.6854706461134799
WI-501,0.20432692307692307,0.31971153846153844
WI-502,0.27461139896373055,0.5077720207253886
WI-503,0.18687589158345222,0.5106990014265336
WV-500,0.02459016393442623,0.9016393442622951
WV-501,0.05106382978723404,0.851063829787234
WV-503,0.09395973154362416,0.8221476510067114
WV-508,0.06527777777777778,0.8916666666666667
WY-500,0.16358024691358025,0.7700617283950617
