CoC Name,CoC Number,Year,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Male,Overall Homeless - Female,Overall Homeless - Transgender,Overall Homeless - Nonbinary Gender,Overall Homeless - White,Overall Homeless - Black or African American,Overall Homeless - Asian or Asian American,Overall Homeless - American Indian or Alaska Native,Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless - Hispanic/Latino,Overall Homeless - Non-Hispanic/Non-Latino,Label
Lake County CoC,CA-529,2022,339.0,0.079646017699115,0.0737463126843657,0.8466076696165191,0.6312684365781711,0.3657817109144542,0.0029498525073746,0.0,0.5722713864306784,0.023598820058997,0.0029498525073746,0.3775811209439528,0.0,0.023598820058997,0.1297935103244837,0.8702064896755162,1
"Alpine, Inyo, Mono Counties CoC",CA-530,2022,140.0,0.2214285714285714,0.05,0.7285714285714285,0.5857142857142857,0.4071428571428571,0.0,0.0071428571428571,0.9285714285714286,0.0214285714285714,0.0142857142857142,0.0357142857142857,0.0,0.0,0.2071428571428571,0.7928571428571428,1
Nevada County CoC,CA-531,2022,527.0,0.1138519924098671,0.0474383301707779,0.8387096774193549,0.573055028462998,0.4174573055028463,0.0018975332068311,0.0075901328273244,0.9013282732447818,0.0113851992409867,0.0037950664136622,0.0284629981024667,0.0018975332068311,0.0531309297912713,0.0967741935483871,0.9032258064516128,1
Los Angeles City & County CoC,CA-600,2022,65111.0,0.0974643301439081,0.0427884689223019,0.85974720093379,0.6564175024189461,0.3182872325720692,0.0140836417809586,0.0091996744021747,0.4468522983827617,0.4578949793429682,0.0152355208797284,0.0224386048440355,0.0099829521893382,0.0475956443611678,0.4444717482453041,0.5555282517546958,2
San Diego City and County CoC,CA-601,2022,8427.0,0.1394327756022309,0.0791503500652664,0.7814168743325026,0.6508840631304141,0.3416399667734662,0.0035599857600569,0.0039159843360626,0.6563427079625015,0.2451643526759226,0.019817254064317,0.0309718761124955,0.0185119259522961,0.029191883232467,0.3370119852853921,0.6629880147146078,2
"Santa Ana, Anaheim/Orange County CoC",CA-602,2022,5718.0,0.1262679258481986,0.0410982861140258,0.8326337880377754,0.6325638335082197,0.3618398041273172,0.002973067506121,0.0017488632388947,0.7093389296956978,0.0844700944386149,0.034102833158447,0.0369010143406785,0.0099685204616998,0.1252186079048618,0.3938440013990906,0.6061559986009094,2
Santa Maria/Santa Barbara County CoC,CA-603,2022,1962.0,0.0688073394495412,0.0382262996941896,0.8929663608562691,0.6376146788990825,0.3598369011213048,0.0020387359836901,0.0005096839959225,0.8328236493374108,0.0764525993883792,0.010703363914373,0.0326197757390418,0.0050968399592252,0.0423037716615698,0.382262996941896,0.617737003058104,2
Bakersfield/Kern County CoC,CA-604,2022,1603.0,0.1041796631316282,0.0617592014971927,0.834061135371179,0.6656269494697442,0.3231441048034934,0.0031191515907673,0.008109794135995,0.7105427323767936,0.198378041172801,0.0074859638178415,0.024329382407985,0.0087336244541484,0.0505302557704304,0.412975670617592,0.587024329382408,2
Long Beach CoC,CA-606,2022,3296.0,0.020631067961165,0.0415655339805825,0.9378033980582524,0.7041868932038835,0.2730582524271844,0.0151699029126213,0.0075849514563106,0.5394417475728155,0.3410194174757281,0.0200242718446601,0.0233616504854368,0.0151699029126213,0.0609830097087378,0.2818567961165049,0.7181432038834952,2
Pasadena CoC,CA-607,2022,512.0,0.083984375,0.0625,0.853515625,0.6796875,0.3125,0.005859375,0.001953125,0.546875,0.37109375,0.015625,0.03515625,0.00390625,0.02734375,0.435546875,0.564453125,2
Riverside City & County CoC,CA-608,2022,3316.0,0.077503015681544,0.0940892641737032,0.8284077201447527,0.6366103739445115,0.3573582629674306,0.002714113389626,0.0033172496984318,0.6752110977080821,0.1905910735826296,0.0108564535585042,0.0331724969843184,0.0081423401688781,0.0820265379975874,0.3525331724969843,0.6474668275030157,2
San Bernardino City & County CoC,CA-609,2022,3333.0,0.081008100810081,0.045004500450045,0.873987398739874,0.6537653765376538,0.3432343234323432,0.0018001800180018,0.0006000600060006,0.5862586258625863,0.2241224122412241,0.0126012601260126,0.0324032403240324,0.0063006300630063,0.1383138313831383,0.4065406540654065,0.5934593459345935,2
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,2022,2248.0,0.068950177935943,0.0382562277580071,0.8927935943060499,0.6641459074733096,0.3300711743772242,0.0057829181494661,0.0,0.7909252669039146,0.0573843416370106,0.0137900355871886,0.0142348754448398,0.0177935943060498,0.1058718861209964,0.4804270462633452,0.5195729537366548,2
Glendale CoC,CA-612,2022,225.0,0.2,0.0222222222222222,0.7777777777777778,0.5955555555555555,0.4,0.0044444444444444,0.0,0.7555555555555555,0.1555555555555555,0.0533333333333333,0.0177777777777777,0.0044444444444444,0.0133333333333333,0.3911111111111111,0.6088888888888889,2
Imperial County CoC,CA-613,2022,1057.0,0.0908230842005676,0.0274361400189214,0.8817407757805109,0.6385998107852412,0.3500473036896878,0.0037842951750236,0.0075685903500473,0.8789025543992431,0.0160832544938505,0.0075685903500473,0.0094607379375591,0.0132450331125827,0.0747398297067171,0.4219489120151372,0.5780510879848628,2
San Luis Obispo County CoC,CA-614,2022,1448.0,0.1761049723756906,0.048342541436464,0.7755524861878453,0.5511049723756906,0.4357734806629834,0.0,0.0131215469613259,0.8439226519337016,0.0345303867403314,0.0082872928176795,0.0504143646408839,0.011049723756906,0.0517955801104972,0.3363259668508287,0.6636740331491713,2
Colorado Balance of State CoC,CO-500,2022,1315.0,0.1193916349809885,0.0692015209125475,0.8114068441064639,0.6395437262357414,0.3505703422053232,0.0045627376425855,0.0053231939163498,0.785551330798479,0.0410646387832699,0.0015209125475285,0.0441064638783269,0.0038022813688212,0.1239543726235741,0.1992395437262357,0.8007604562737642,1
Metropolitan Denver CoC,CO-503,2022,6884.0,0.1160662405578152,0.0489540964555491,0.8349796629866357,0.6063335270191749,0.3794305636257989,0.0074084834398605,0.0062463683904706,0.6202789076118536,0.2029343404997094,0.0055200464846019,0.062754212667054,0.0270191748983149,0.081493317838466,0.2542126670540383,0.7457873329459617,2
Colorado Springs/El Paso County CoC,CO-504,2022,1406.0,0.201280227596017,0.0782361308677098,0.7204836415362731,0.6081081081081081,0.3755334281650071,0.0049786628733997,0.0106685633001422,0.6415362731152204,0.1706970128022759,0.0071123755334281,0.0504978662873399,0.0078236130867709,0.1223328591749644,0.2226173541963015,0.7773826458036984,1
"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC",CO-505,2022,792.0,0.1262626262626262,0.0467171717171717,0.827020202020202,0.6363636363636364,0.3573232323232323,0.0037878787878787,0.0025252525252525,0.797979797979798,0.0631313131313131,0.0063131313131313,0.0492424242424242,0.0138888888888888,0.0694444444444444,0.2765151515151515,0.7234848484848485,1
"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",CT-503,2022,603.0,0.1990049751243781,0.0729684908789386,0.7280265339966833,0.6053067993366501,0.3930348258706467,0.0016583747927031,0.0,0.4494195688225539,0.4643449419568822,0.0066334991708126,0.0165837479270315,0.0033167495854063,0.0597014925373134,0.3449419568822554,0.6550580431177446,2
Connecticut Balance of State CoC,CT-505,2022,2327.0,0.1890846583584013,0.0691877954447786,0.7417275461968199,0.5938977223893425,0.4039535883111302,0.0017189514396218,0.0004297378599054,0.5556510528577567,0.3674258702191663,0.0060163300386764,0.00945423291792,0.0068758057584873,0.0545767082079931,0.3094112591319295,0.6905887408680704,2
District of Columbia CoC,DC-500,2022,4410.0,0.1360544217687075,0.1154195011337868,0.7485260770975056,0.617233560090703,0.3709750566893424,0.0081632653061224,0.0036281179138321,0.0913832199546485,0.853514739229025,0.0079365079365079,0.0088435374149659,0.0034013605442176,0.0349206349206349,0.0578231292517006,0.9421768707482994,0
Delaware Statewide CoC,DE-500,2022,2369.0,0.324609539890249,0.0844238075137188,0.5909666525960321,0.5208948923596454,0.476572393414943,0.0008442380751371,0.0016884761502743,0.3212325875897003,0.6137610806247362,0.0059096665259603,0.0025327142254115,0.0008442380751371,0.0557197129590544,0.0637399746728577,0.9362600253271424,0
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,2022,1138.0,0.0975395430579964,0.0518453427065026,0.8506151142355008,0.6748681898066784,0.3242530755711775,0.0008787346221441,0.0,0.7609841827768014,0.2047451669595782,0.0043936731107205,0.0017574692442882,0.0017574692442882,0.0263620386643233,0.1089630931458699,0.8910369068541301,1
Tampa/Hillsborough County CoC,FL-501,2022,1513.0,0.1916721744877726,0.0330469266358228,0.7752808988764045,0.6437541308658294,0.3529411764705882,0.0006609385327164,0.0006609385327164,0.4613350958360872,0.4917382683410443,0.0059484467944481,0.0257766027759418,0.0059484467944481,0.0092531394580304,0.1678783873099801,0.8321216126900198,3
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2022,1985.0,0.1506297229219143,0.0292191435768261,0.8201511335012595,0.654911838790932,0.3410579345088161,0.0020151133501259,0.0015113350125944,0.5692695214105793,0.3642317380352645,0.0070528967254408,0.014609571788413,0.0060453400503778,0.0387909319899244,0.0700251889168765,0.9299748110831234,3
"Lakeland, Winterhaven/Polk County CoC",FL-503,2022,506.0,0.1956521739130435,0.0494071146245059,0.7549407114624506,0.6047430830039525,0.3932806324110672,0.0019762845849802,0.0,0.6027667984189723,0.3162055335968379,0.0019762845849802,0.0118577075098814,0.0039525691699604,0.0632411067193675,0.1343873517786561,0.8656126482213439,3
"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",FL-504,2022,865.0,0.2265895953757225,0.0508670520231213,0.7225433526011561,0.5930635838150289,0.4057803468208092,0.0,0.0011560693641618,0.5895953757225434,0.3190751445086705,0.0011560693641618,0.0046242774566473,0.0184971098265895,0.0670520231213872,0.2254335260115607,0.7745664739884393,3
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,2022,403.0,0.1042183622828784,0.0669975186104218,0.8287841191066998,0.6104218362282878,0.3821339950372208,0.0024813895781637,0.0049627791563275,0.71712158808933,0.2034739454094292,0.0024813895781637,0.0173697270471464,0.0049627791563275,0.0545905707196029,0.0794044665012407,0.9205955334987592,1
Tallahassee/Leon County CoC,FL-506,2022,621.0,0.1642512077294686,0.0257648953301127,0.8099838969404187,0.6038647342995169,0.394524959742351,0.0,0.001610305958132,0.3349436392914653,0.5684380032206119,0.0048309178743961,0.0225442834138486,0.0161030595813204,0.0531400966183574,0.072463768115942,0.927536231884058,0
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,2022,2151.0,0.2556950255695026,0.0581125058112505,0.6861924686192469,0.5941422594142259,0.401673640167364,0.00278940027894,0.00046490004649,0.4546722454672245,0.4760576476057647,0.00650860065086,0.00697350069735,0.00604370060437,0.0497443049744305,0.2171083217108321,0.7828916782891678,3
"Gainesville/Alachua, Putnam Counties CoC",FL-508,2022,925.0,0.0918918918918919,0.041081081081081,0.867027027027027,0.654054054054054,0.3416216216216216,0.0,0.0043243243243243,0.5156756756756756,0.4183783783783784,0.0021621621621621,0.0086486486486486,0.001081081081081,0.054054054054054,0.0486486486486486,0.9513513513513514,3
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,2022,846.0,0.210401891252955,0.0579196217494089,0.7316784869976359,0.6122931442080378,0.384160756501182,0.0035460992907801,0.0,0.7115839243498818,0.1914893617021276,0.0023640661938534,0.0130023640661938,0.0047281323877068,0.0768321513002364,0.0709219858156028,0.9290780141843972,1
"Jacksonville-Duval, Clay Counties CoC",FL-510,2022,1279.0,0.1579358874120406,0.0570758405003909,0.7849882720875684,0.6591086786551994,0.3393275996872557,0.0015637216575449,0.0,0.3307271305707584,0.6004691164972635,0.0039093041438623,0.0062548866301798,0.0070367474589523,0.0516028146989835,0.0547302580140734,0.9452697419859264,0
